model,hardware,prompt_size,batch_size,token_size,peak_power,average_power,prompt_time,token_time,e2e_time,tensor_parallel
Llama-3.1-8B,a100-80gb,128,1,128,0,0,0.03297734260559082,0.9201009273529053,0.9553709030151367,4
Llama-3.1-8B,a100-80gb,128,1,128,0,0,0.028257369995117188,0.9209592342376709,0.9509384632110596,4
Llama-3.1-8B,a100-80gb,128,1,128,0,0,0.02737712860107422,0.9156851768493652,0.9449882507324219,4
Llama-3.1-8B,a100-80gb,128,1,128,0,0,0.02955484390258789,0.919954776763916,0.9512879848480225,4
Llama-3.1-8B,a100-80gb,128,1,128,0,0,0.030206680297851562,0.9144253730773926,0.9468681812286377,4
Llama-3.1-8B,a100-80gb,256,1,128,0,0,0.028693675994873047,0.9187395572662354,0.9496059417724609,4
Llama-3.1-8B,a100-80gb,256,1,128,0,0,0.02871417999267578,0.9167537689208984,0.9473984241485596,4
Llama-3.1-8B,a100-80gb,256,1,128,0,0,0.028706789016723633,0.9137959480285645,0.9445047378540039,4
Llama-3.1-8B,a100-80gb,256,1,128,0,0,0.03003406524658203,0.9078140258789062,0.9398159980773926,4
Llama-3.1-8B,a100-80gb,256,1,128,0,0,0.02836775779724121,0.9118075370788574,0.9420104026794434,4
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.04191184043884277,0.9118244647979736,0.956207275390625,4
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.04094815254211426,0.9082350730895996,0.9512796401977539,4
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.04065680503845215,0.9116811752319336,0.9548094272613525,4
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.04051685333251953,0.9070236682891846,0.9495365619659424,4
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.040995121002197266,0.9108121395111084,0.9542300701141357,4
Llama-3.1-8B,a100-80gb,1024,1,128,0,0,0.07765889167785645,0.9122600555419922,0.9929931163787842,4
Llama-3.1-8B,a100-80gb,1024,1,128,0,0,0.07769274711608887,0.9148342609405518,0.9957726001739502,4
Llama-3.1-8B,a100-80gb,1024,1,128,0,0,0.07783746719360352,0.9123654365539551,0.9934542179107666,4
Llama-3.1-8B,a100-80gb,1024,1,128,0,0,0.07767915725708008,0.9078199863433838,0.988710880279541,4
Llama-3.1-8B,a100-80gb,1024,1,128,0,0,0.07793402671813965,0.9110865592956543,0.9922301769256592,4
Llama-3.1-8B,a100-80gb,2048,1,128,0,0,0.17975473403930664,0.9161357879638672,1.1002793312072754,4
Llama-3.1-8B,a100-80gb,2048,1,128,0,0,0.17668652534484863,0.9122085571289062,1.0936269760131836,4
Llama-3.1-8B,a100-80gb,2048,1,128,0,0,0.17915034294128418,0.9142575263977051,1.0980398654937744,4
Llama-3.1-8B,a100-80gb,2048,1,128,0,0,0.1759350299835205,0.9142847061157227,1.094022274017334,4
Llama-3.1-8B,a100-80gb,2048,1,128,0,0,0.17548608779907227,0.9124853610992432,1.0926330089569092,4
Llama-3.1-8B,a100-80gb,4096,1,128,0,0,0.31067466735839844,0.9137020111083984,1.2314074039459229,4
Llama-3.1-8B,a100-80gb,4096,1,128,0,0,0.3091862201690674,0.9144895076751709,1.23073410987854,4
